TMDB ID,IMDB ID,TITLE,YEAR,GENRE,RATING,RELEASED,ACTORS,AWARDS,COUNTRY,LANGUAGE,BOX OFFICE,ADJ. BOX OFFICE
862,tt0114709,Toy Story,1995,"Animation, Adventure, Comedy",8.3,22 Nov 1995,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",Nominated for 3 Oscars. Another 23 wins & 18 nominations.,USA,English,191796233.0,371687872.0
8844,tt0113497,Jumanji,1995,"Action, Adventure, Family",6.9,15 Dec 1995,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce",4 wins & 9 nominations.,USA,"English, French",100200000.0,194180689.0
15602,tt0113228,Grumpier Old Men,1995,"Comedy, Romance",6.6,22 Dec 1995,"Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret",2 wins & 2 nominations.,USA,English,69870000.0,135403241.0
31357,tt0114885,Waiting to Exhale,1995,"Comedy, Drama, Romance",5.7,22 Dec 1995,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon",8 wins & 8 nominations.,USA,English,66217473.0,128324895.0
11862,tt0113041,Father of the Bride Part II,1995,"Comedy, Family, Romance",5.9,08 Dec 1995,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley",Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,USA,English,76594000.0,148433889.0
949,tt0113277,Heat,1995,"Action, Crime, Drama",8.2,15 Dec 1995,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",12 nominations.,USA,"English, Spanish",67436000.0,130686317.0
11860,tt0114319,Sabrina,1995,"Comedy, Drama",6.3,15 Dec 1995,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand",Nominated for 2 Oscars. Another 2 wins & 4 nominations.,"Germany, USA","English, French",53458319.0,103598535.0
45325,tt0112302,Tom and Huck,1995,"Adventure, Comedy, Drama",5.6,22 Dec 1995,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",1 win & 5 nominations.,USA,English,23735802.0,45998347.0
9091,tt0114576,Sudden Death,1995,"Action, Crime, Thriller",5.7,22 Dec 1995,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",,USA,English,22000000.0,42634482.0
710,tt0113189,GoldenEye,1995,"Action, Adventure, Thriller",7.2,17 Nov 1995,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,"UK, USA","English, Russian, Spanish",106635996.0,206653206.0
9087,tt0112346,The American President,1995,"Comedy, Drama, Romance",6.8,17 Nov 1995,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox",Nominated for 1 Oscar. Another 1 win & 9 nominations.,USA,"English, French",65000000.0,125965517.0
12110,tt0112896,Dracula: Dead and Loving It,1995,"Comedy, Fantasy, Horror",5.8,22 Dec 1995,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck",,"USA, France","English, German",10693649.0,20723554.0
21032,tt0112453,Balto,1995,"Animation, Adventure, Drama",7.1,22 Dec 1995,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings",1 nomination.,USA,English,11268750.0,21838060.0
10858,tt0113987,Nixon,1995,"Biography, Drama, History",7.1,05 Jan 1996,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris",Nominated for 4 Oscars. Another 10 wins & 13 nominations.,USA,"English, Mandarin, Russian",13560960.0,26280205.0
1408,tt0112760,Cutthroat Island,1995,"Action, Adventure, Comedy",5.6,22 Dec 1995,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",1 nomination.,"USA, France, Italy, Germany",English,11000000.0,21317241.0
524,tt0112641,Casino,1995,"Crime, Drama",8.2,22 Nov 1995,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",Nominated for 1 Oscar. Another 3 wins & 9 nominations.,"France, USA",English,42438300.0,82242498.0
4584,tt0114388,Sense and Sensibility,1995,"Drama, Romance",7.7,26 Jan 1996,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet",Won 1 Oscar. Another 31 wins & 45 nominations.,"USA, UK","English, French",42700000.0,82749655.0
5,tt0113101,Four Rooms,1995,Comedy,6.7,25 Dec 1995,"Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",1 win & 1 nomination.,USA,English,4301331.0,8335682.0
9273,tt0112281,Ace Ventura: When Nature Calls,1995,"Adventure, Comedy, Crime",6.3,10 Nov 1995,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",7 wins & 7 nominations.,USA,English,108360000.0,209994206.0
11517,tt0113845,Money Train,1995,"Action, Comedy, Crime",5.6,22 Nov 1995,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake",1 nomination.,USA,English,35324232.0,68455925.0
8012,tt0113161,Get Shorty,1995,"Comedy, Crime, Thriller",6.9,20 Oct 1995,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito",Won 1 Golden Globe. Another 5 wins & 15 nominations.,USA,English,72077000.0,139680255.0
1710,tt0112722,Copycat,1995,"Crime, Drama, Mystery",6.6,27 Oct 1995,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",2 wins & 1 nomination.,USA,English,32051917.0,62114404.0
9691,tt0112401,Assassins,1995,"Action, Crime, Thriller",6.3,06 Oct 1995,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",1 win & 1 nomination.,"France, USA","English, Dutch, Spanish",30306268.0,58731457.0
12665,tt0114168,Powder,1995,"Drama, Fantasy, Mystery",6.5,27 Oct 1995,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",1 win & 1 nomination.,USA,English,30862146.0,59808710.0
451,tt0113627,Leaving Las Vegas,1995,"Drama, Romance",7.6,09 Feb 1996,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",Won 1 Oscar. Another 30 wins & 27 nominations.,USA,"English, Russian",31968347.0,61952451.0
16420,tt0114057,Othello,1995,"Drama, Romance",7.0,19 Jan 1996,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",3 nominations.,"USA, UK",English,2112951.0,4094753.0
9263,tt0114011,Now and Then,1995,"Comedy, Drama, Romance",6.8,20 Oct 1995,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",1 nomination.,USA,English,27400000.0,53099310.0
17015,tt0114117,Persuasion,1995,"Drama, Romance",7.7,27 Sep 1995,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave",7 wins & 2 nominations.,"UK, USA, France",English,5462325.0,10585609.0
9909,tt0112792,Dangerous Minds,1995,"Biography, Drama",6.4,11 Aug 1995,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",5 wins & 6 nominations.,USA,English,84919401.0,164567942.0
63,tt0114746,Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",8.0,05 Jan 1996,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",Nominated for 2 Oscars. Another 9 wins & 18 nominations.,USA,"English, French",56882000.0,110233393.0
78802,tt0114952,Wings of Courage,1995,"Adventure, Romance",6.5,18 Sep 1996,"Craig Sheffer, Tom Hulce, Elizabeth McGovern, Val Kilmer",,"USA, France",English,15052.0,29169.0
9598,tt0112431,Babe,1995,"Comedy, Drama, Family",6.8,04 Aug 1995,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",Won 1 Oscar. Another 18 wins & 24 nominations.,"Australia, USA",English,66600000.0,129066206.0
687,tt0112818,Dead Man Walking,1995,"Crime, Drama",7.6,02 Feb 1996,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry",Won 1 Oscar. Another 20 wins & 19 nominations.,"UK, USA",English,39025000.0,75627758.0
139405,tt0112286,Across the Sea of Time,1995,"Adventure, Drama, Family",6.4,20 Oct 1995,"Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach",,USA,"English, Russian",15981095.0,30970259.0
33689,tt0113442,It Takes Two,1995,"Comedy, Family, Romance",5.7,17 Nov 1995,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen",1 win & 3 nominations.,USA,English,19474589.0,37740410.0
9603,tt0112697,Clueless,1995,"Comedy, Romance",6.8,19 Jul 1995,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",6 wins & 11 nominations.,USA,"English, Spanish",56631572.0,109748080.0
34615,tt0112749,"Cry, the Beloved Country",1995,"Drama, Thriller",6.9,15 Dec 1995,"James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton",1 win & 4 nominations.,"South Africa, USA",English,676525.0,1311058.0
31174,tt0114279,Richard III,1995,"Drama, War",7.5,29 Dec 1995,"Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr.",Nominated for 2 Oscars. Another 7 wins & 10 nominations.,"UK, USA",English,2600000.0,5038620.0
11443,tt0112819,Dead Presidents,1995,"Action, Crime, Drama",6.8,06 Oct 1995,"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez",2 nominations.,USA,English,24200000.0,46897931.0
35196,tt0114272,Restoration,1995,"Biography, Drama, History",6.7,02 Feb 1996,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker",Won 2 Oscars. Another 2 nominations.,"USA, UK","English, Latin",4100000.0,7945517.0
9312,tt0113855,Mortal Kombat,1995,"Action, Adventure, Fantasy",5.8,18 Aug 1995,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",1 win & 3 nominations.,USA,English,70360285.0,136353379.0
577,tt0114681,To Die For,1995,"Comedy, Crime, Drama",6.8,06 Oct 1995,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",Won 1 Golden Globe. Another 6 wins & 12 nominations.,"USA, UK, Canada",English,21200000.0,41084137.0
11861,tt0113347,How to Make an American Quilt,1995,"Comedy, Drama, Romance",6.2,06 Oct 1995,"Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",4 nominations.,USA,English,23574130.0,45685038.0
807,tt0114369,Se7en,1995,"Crime, Drama, Mystery",8.6,22 Sep 1995,"Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa",Nominated for 1 Oscar. Another 25 wins & 34 nominations.,USA,English,100125340.0,194036003.0
10530,tt0114148,Pocahontas,1995,"Animation, Adventure, Drama",6.7,23 Jun 1995,"Irene Bedard, Judy Kuhn, Mel Gibson, David Ogden Stiers",Won 2 Oscars. Another 13 wins & 6 nominations.,USA,"English, Algonquin",141600000.0,274411034.0
629,tt0114814,The Usual Suspects,1995,"Crime, Drama, Mystery",8.6,15 Sep 1995,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak",Won 2 Oscars. Another 32 wins & 16 nominations.,"USA, Germany","English, Hungarian, Spanish, French",23272306.0,45100124.0
117164,tt0109950,Guardian Angel,1994,"Action, Drama, Thriller",4.8,22 Nov 1994,"Cynthia Rothrock, Daniel McVicar, Lydie Denier, Marshall R. Teague",,USA,English,252009.0,508238.0
11448,tt0113819,Mighty Aphrodite,1995,"Comedy, Fantasy, Romance",7.1,10 Nov 1995,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena",Won 1 Oscar. Another 11 wins & 11 nominations.,USA,"English, Latin",6700000.0,12984137.0
26441,tt0112499,The Big Green,1995,"Comedy, Family, Sport",5.5,29 Sep 1995,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry",,USA,English,17725500.0,34350796.0
97406,tt0113158,Georgia,1995,"Drama, Music",6.5,08 Dec 1995,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich",Nominated for 1 Oscar. Another 4 wins & 6 nominations.,"USA, France","English, Hebrew",2907768.0,5635053.0
124057,tt0113541,Kids of the Round Table,1995,"Adventure, Comedy, Family",5.0,15 Dec 1995,"Johnny Morina, Maggie Castle, Christopher Olscamp, Justin Borntraeger",2 nominations.,"USA, Canada",English,,
9089,tt0113321,Home for the Holidays,1995,"Comedy, Drama, Romance",6.6,03 Nov 1995,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning",2 nominations.,USA,English,17518220.0,33949102.0
11359,tt0113419,The Indian in the Cupboard,1995,"Drama, Family, Fantasy",5.9,14 Jul 1995,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",1 win & 6 nominations.,USA,English,35617599.0,69024450.0
17182,tt0116260,Eye for an Eye,1996,"Crime, Drama, Thriller",6.1,12 Jan 1996,"Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle",,USA,"English, French, Spanish, Korean",53146000.0,101362167.0
2054,tt0113862,Mr. Holland's Opus,1995,"Drama, Music",7.3,19 Jan 1996,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis",Nominated for 1 Oscar. Another 5 wins & 4 nominations.,USA,"English, American Sign Language",82528097.0,159933760.0
