TMDB ID,IMDB ID,TITLE,YEAR,GENRE,RATING,RELEASED,ACTORS,AWARDS,COUNTRY,LANGUAGE
862,tt0114709,Toy Story,1995,"Animation, Adventure, Comedy",8.3,22 Nov 1995,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",Nominated for 3 Oscars. Another 23 wins & 18 nominations.,USA,English
8844,tt0113497,Jumanji,1995,"Action, Adventure, Family",6.9,15 Dec 1995,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce",4 wins & 9 nominations.,USA,"English, French"
15602,tt0113228,Grumpier Old Men,1995,"Comedy, Romance",6.6,22 Dec 1995,"Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret",2 wins & 2 nominations.,USA,English
31357,tt0114885,Waiting to Exhale,1995,"Comedy, Drama, Romance",5.7,22 Dec 1995,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon",8 wins & 8 nominations.,USA,English
11862,tt0113041,Father of the Bride Part II,1995,"Comedy, Family, Romance",5.9,08 Dec 1995,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley",Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,USA,English
949,tt0113277,Heat,1995,"Action, Crime, Drama",8.2,15 Dec 1995,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",12 nominations.,USA,"English, Spanish"
11860,tt0114319,Sabrina,1995,"Comedy, Drama",6.3,15 Dec 1995,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand",Nominated for 2 Oscars. Another 2 wins & 4 nominations.,"Germany, USA","English, French"
45325,tt0112302,Tom and Huck,1995,"Adventure, Comedy, Drama",5.6,22 Dec 1995,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",1 win & 5 nominations.,USA,English
9091,tt0114576,Sudden Death,1995,"Action, Crime, Thriller",5.7,22 Dec 1995,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",,USA,English
710,tt0113189,GoldenEye,1995,"Action, Adventure, Thriller",7.2,17 Nov 1995,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,"UK, USA","English, Russian, Spanish"
9087,tt0112346,The American President,1995,"Comedy, Drama, Romance",6.8,17 Nov 1995,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox",Nominated for 1 Oscar. Another 1 win & 9 nominations.,USA,"English, French"
12110,tt0112896,Dracula: Dead and Loving It,1995,"Comedy, Fantasy, Horror",5.8,22 Dec 1995,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck",,"USA, France","English, German"
21032,tt0112453,Balto,1995,"Animation, Adventure, Drama",7.1,22 Dec 1995,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings",1 nomination.,USA,English
10858,tt0113987,Nixon,1995,"Biography, Drama, History",7.1,05 Jan 1996,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris",Nominated for 4 Oscars. Another 10 wins & 13 nominations.,USA,"English, Mandarin, Russian"
1408,tt0112760,Cutthroat Island,1995,"Action, Adventure, Comedy",5.6,22 Dec 1995,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",1 nomination.,"USA, France, Italy, Germany",English
524,tt0112641,Casino,1995,"Crime, Drama",8.2,22 Nov 1995,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",Nominated for 1 Oscar. Another 3 wins & 9 nominations.,"France, USA",English
4584,tt0114388,Sense and Sensibility,1995,"Drama, Romance",7.7,26 Jan 1996,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet",Won 1 Oscar. Another 31 wins & 45 nominations.,"USA, UK","English, French"
5,tt0113101,Four Rooms,1995,Comedy,6.7,25 Dec 1995,"Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",1 win & 1 nomination.,USA,English
9273,tt0112281,Ace Ventura: When Nature Calls,1995,"Adventure, Comedy, Crime",6.3,10 Nov 1995,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",7 wins & 7 nominations.,USA,English
11517,tt0113845,Money Train,1995,"Action, Comedy, Crime",5.6,22 Nov 1995,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake",1 nomination.,USA,English
8012,tt0113161,Get Shorty,1995,"Comedy, Crime, Thriller",6.9,20 Oct 1995,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito",Won 1 Golden Globe. Another 5 wins & 15 nominations.,USA,English
