TMDB ID,IMDB ID,TITLE,RELEASED,YEAR,GENRE,RATING,ACTORS,AWARDS,COUNTRY,LANGUAGE,BOX OFFICE
862,tt0114709,Toy Story,22 Nov 1995,1995,"Animation, Adventure, Comedy",8.3,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",Nominated for 3 Oscars. Another 23 wins & 18 nominations.,USA,English,191796233.0
8844,tt0113497,Jumanji,15 Dec 1995,1995,"Action, Adventure, Family",6.9,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce",4 wins & 9 nominations.,USA,"English, French",100200000.0
15602,tt0113228,Grumpier Old Men,22 Dec 1995,1995,"Comedy, Romance",6.6,"Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret",2 wins & 2 nominations.,USA,English,69870000.0
31357,tt0114885,Waiting to Exhale,22 Dec 1995,1995,"Comedy, Drama, Romance",5.7,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon",8 wins & 8 nominations.,USA,English,66217473.0
11862,tt0113041,Father of the Bride Part II,08 Dec 1995,1995,"Comedy, Family, Romance",5.9,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley",Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,USA,English,76594000.0
949,tt0113277,Heat,15 Dec 1995,1995,"Action, Crime, Drama",8.2,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",12 nominations.,USA,"English, Spanish",67436000.0
11860,tt0114319,Sabrina,15 Dec 1995,1995,"Comedy, Drama",6.3,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand",Nominated for 2 Oscars. Another 2 wins & 4 nominations.,"Germany, USA","English, French",53458319.0
45325,tt0112302,Tom and Huck,22 Dec 1995,1995,"Adventure, Comedy, Drama",5.6,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",1 win & 5 nominations.,USA,English,23735802.0
9091,tt0114576,Sudden Death,22 Dec 1995,1995,"Action, Crime, Thriller",5.7,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",,USA,English,22000000.0
710,tt0113189,GoldenEye,17 Nov 1995,1995,"Action, Adventure, Thriller",7.2,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,"UK, USA","English, Russian, Spanish",106635996.0
9087,tt0112346,The American President,17 Nov 1995,1995,"Comedy, Drama, Romance",6.8,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox",Nominated for 1 Oscar. Another 1 win & 9 nominations.,USA,"English, French",65000000.0
12110,tt0112896,Dracula: Dead and Loving It,22 Dec 1995,1995,"Comedy, Fantasy, Horror",5.8,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck",,"USA, France","English, German",10693649.0
21032,tt0112453,Balto,22 Dec 1995,1995,"Animation, Adventure, Drama",7.1,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings",1 nomination.,USA,English,11268750.0
10858,tt0113987,Nixon,05 Jan 1996,1995,"Biography, Drama, History",7.1,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris",Nominated for 4 Oscars. Another 10 wins & 13 nominations.,USA,"English, Mandarin, Russian",13560960.0
1408,tt0112760,Cutthroat Island,22 Dec 1995,1995,"Action, Adventure, Comedy",5.6,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",1 nomination.,"USA, France, Italy, Germany",English,11000000.0
524,tt0112641,Casino,22 Nov 1995,1995,"Crime, Drama",8.2,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",Nominated for 1 Oscar. Another 3 wins & 9 nominations.,"France, USA",English,42438300.0
4584,tt0114388,Sense and Sensibility,26 Jan 1996,1995,"Drama, Romance",7.7,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet",Won 1 Oscar. Another 31 wins & 45 nominations.,"USA, UK","English, French",42700000.0
5,tt0113101,Four Rooms,25 Dec 1995,1995,Comedy,6.7,"Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",1 win & 1 nomination.,USA,English,4301331.0
9273,tt0112281,Ace Ventura: When Nature Calls,10 Nov 1995,1995,"Adventure, Comedy, Crime",6.3,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",7 wins & 7 nominations.,USA,English,108360000.0
11517,tt0113845,Money Train,22 Nov 1995,1995,"Action, Comedy, Crime",5.6,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake",1 nomination.,USA,English,35324232.0
8012,tt0113161,Get Shorty,20 Oct 1995,1995,"Comedy, Crime, Thriller",6.9,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito",Won 1 Golden Globe. Another 5 wins & 15 nominations.,USA,English,72077000.0
1710,tt0112722,Copycat,27 Oct 1995,1995,"Crime, Drama, Mystery",6.6,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",2 wins & 1 nomination.,USA,English,32051917.0
9691,tt0112401,Assassins,06 Oct 1995,1995,"Action, Crime, Thriller",6.3,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",1 win & 1 nomination.,"France, USA","English, Dutch, Spanish",30306268.0
12665,tt0114168,Powder,27 Oct 1995,1995,"Drama, Fantasy, Mystery",6.5,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",1 win & 1 nomination.,USA,English,30862146.0
451,tt0113627,Leaving Las Vegas,09 Feb 1996,1995,"Drama, Romance",7.6,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",Won 1 Oscar. Another 30 wins & 27 nominations.,USA,"English, Russian",31968347.0
16420,tt0114057,Othello,19 Jan 1996,1995,"Drama, Romance",7.0,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",3 nominations.,"USA, UK",English,2112951.0
